Epoch: 0, training loss: 2.2972, eval acc: 0.1109
Epoch: 1, training loss: 2.2085, eval acc: 0.3092
Epoch: 2, training loss: 2.0084, eval acc: 0.5755
Epoch: 3, training loss: 1.8906, eval acc: 0.6302
Epoch: 4, training loss: 1.8178, eval acc: 0.7243
Epoch: 5, training loss: 1.7564, eval acc: 0.7384
Epoch: 6, training loss: 1.7234, eval acc: 0.8084
Epoch: 7, training loss: 1.6808, eval acc: 0.8174
Epoch: 8, training loss: 1.6629, eval acc: 0.8228
Epoch: 9, training loss: 1.6525, eval acc: 0.8263
Epoch: 10, training loss: 1.6454, eval acc: 0.8291
Epoch: 11, training loss: 1.6402, eval acc: 0.8313
Epoch: 12, training loss: 1.6362, eval acc: 0.8334
Epoch: 13, training loss: 1.6330, eval acc: 0.8347
Epoch: 14, training loss: 1.6303, eval acc: 0.8356
Epoch: 15, training loss: 1.6281, eval acc: 0.8367
Epoch: 16, training loss: 1.6262, eval acc: 0.8371
Epoch: 17, training loss: 1.6245, eval acc: 0.8378
Epoch: 18, training loss: 1.6230, eval acc: 0.8389
Epoch: 19, training loss: 1.6217, eval acc: 0.8398
Epoch: 20, training loss: 1.6205, eval acc: 0.8402
Epoch: 21, training loss: 1.6194, eval acc: 0.8408
Epoch: 22, training loss: 1.6184, eval acc: 0.8414
Epoch: 23, training loss: 1.6174, eval acc: 0.8416
Epoch: 24, training loss: 1.6164, eval acc: 0.8422
Epoch: 25, training loss: 1.6093, eval acc: 0.8842
Epoch: 26, training loss: 1.5811, eval acc: 0.8985
Epoch: 27, training loss: 1.5711, eval acc: 0.9032
Epoch: 28, training loss: 1.5654, eval acc: 0.9059
Epoch: 29, training loss: 1.5614, eval acc: 0.9080
Epoch: 30, training loss: 1.5582, eval acc: 0.9100
Epoch: 31, training loss: 1.5556, eval acc: 0.9118
Epoch: 32, training loss: 1.5534, eval acc: 0.9132
Epoch: 33, training loss: 1.5516, eval acc: 0.9144
Epoch: 34, training loss: 1.5499, eval acc: 0.9146
Epoch: 35, training loss: 1.5484, eval acc: 0.9153
Epoch: 36, training loss: 1.5471, eval acc: 0.9161
Epoch: 37, training loss: 1.5459, eval acc: 0.9178
Epoch: 38, training loss: 1.5448, eval acc: 0.9186
Epoch: 39, training loss: 1.5437, eval acc: 0.9186
Epoch: 40, training loss: 1.5427, eval acc: 0.9194
Epoch: 41, training loss: 1.5418, eval acc: 0.9200
Epoch: 42, training loss: 1.5409, eval acc: 0.9208
Epoch: 43, training loss: 1.5400, eval acc: 0.9213
Epoch: 44, training loss: 1.5392, eval acc: 0.9220
Epoch: 45, training loss: 1.5385, eval acc: 0.9224
Epoch: 46, training loss: 1.5377, eval acc: 0.9228
Epoch: 47, training loss: 1.5370, eval acc: 0.9230
Epoch: 48, training loss: 1.5363, eval acc: 0.9236
Epoch: 49, training loss: 1.5356, eval acc: 0.9237
Epoch: 50, training loss: 1.5350, eval acc: 0.9238
Epoch: 51, training loss: 1.5343, eval acc: 0.9240
Epoch: 52, training loss: 1.5337, eval acc: 0.9244
Epoch: 53, training loss: 1.5331, eval acc: 0.9249
Epoch: 54, training loss: 1.5325, eval acc: 0.9252
